anon_instance_id,category,phase,n_successes,n_attempts,success_rate,infra_failure_count
TRN-36EFD3C5F011A8CC,A,base,1,4,0.25,
TRN-36EFD3C5F011A8CC,A,initial_rl,1,4,0.25,0
TRN-36EFD3C5F011A8CC,A,repair_sft,4,4,1.0,0
TRN-377097C10D3398E8,A,base,2,4,0.5,
TRN-377097C10D3398E8,A,initial_rl,0,4,0.0,0
TRN-377097C10D3398E8,A,repair_sft,2,4,0.5,0
TRN-37BFAEF492D54652,A,base,2,4,0.5,
TRN-37BFAEF492D54652,A,initial_rl,3,4,0.75,0
TRN-37BFAEF492D54652,A,repair_sft,3,4,0.75,0
TRN-381E531F9C9E0C2D,A,base,2,4,0.5,
TRN-381E531F9C9E0C2D,A,initial_rl,2,4,0.5,0
TRN-381E531F9C9E0C2D,A,repair_sft,2,4,0.5,0
TRN-387717FB2132D26B,A,base,1,4,0.25,
TRN-387717FB2132D26B,A,initial_rl,2,4,0.5,1
TRN-387717FB2132D26B,A,repair_sft,3,4,0.75,0
TRN-3A97C2AA76BCDA42,A,base,1,4,0.25,
TRN-3A97C2AA76BCDA42,A,initial_rl,0,4,0.0,0
TRN-3A97C2AA76BCDA42,A,repair_sft,0,4,0.0,0
TRN-3A9D41BC3EF50A5F,A,base,1,4,0.25,
TRN-3A9D41BC3EF50A5F,A,initial_rl,0,4,0.0,0
TRN-3A9D41BC3EF50A5F,A,repair_sft,1,4,0.25,0
TRN-3B81147E4D5FC3A3,A,base,1,4,0.25,
TRN-3B81147E4D5FC3A3,A,initial_rl,2,4,0.5,0
TRN-3B81147E4D5FC3A3,A,repair_sft,4,4,1.0,0
TRN-3B858BB0BC0C4F18,A,base,2,4,0.5,
TRN-3B858BB0BC0C4F18,A,initial_rl,0,4,0.0,0
TRN-3B858BB0BC0C4F18,A,repair_sft,4,4,1.0,0
TRN-3BBA5FA62E9324DB,A,base,1,4,0.25,
TRN-3BBA5FA62E9324DB,A,initial_rl,2,4,0.5,0
TRN-3BBA5FA62E9324DB,A,repair_sft,1,4,0.25,0
TRN-3C0F1A1C1695AB68,A,base,3,4,0.75,
TRN-3C0F1A1C1695AB68,A,initial_rl,3,4,0.75,0
TRN-3C0F1A1C1695AB68,A,repair_sft,4,4,1.0,0
TRN-3C63B9524C79122E,A,base,1,4,0.25,
TRN-3C63B9524C79122E,A,initial_rl,0,4,0.0,0
TRN-3C63B9524C79122E,A,repair_sft,3,4,0.75,0
TRN-3C64970696B305C0,A,base,1,4,0.25,
TRN-3C64970696B305C0,A,initial_rl,3,4,0.75,0
TRN-3C64970696B305C0,A,repair_sft,3,4,0.75,0
TRN-3C6A3829EC03882B,A,base,2,4,0.5,
TRN-3C6A3829EC03882B,A,initial_rl,4,4,1.0,0
TRN-3C6A3829EC03882B,A,repair_sft,4,4,1.0,0
TRN-3CFAE000B4BEF89B,A,base,2,4,0.5,
TRN-3CFAE000B4BEF89B,A,initial_rl,0,4,0.0,0
TRN-3CFAE000B4BEF89B,A,repair_sft,0,4,0.0,0
TRN-3D0579BADDA4DB16,A,base,2,4,0.5,
TRN-3D0579BADDA4DB16,A,initial_rl,2,4,0.5,0
TRN-3D0579BADDA4DB16,A,repair_sft,4,4,1.0,0
TRN-3D599F36D245B844,A,base,2,4,0.5,
TRN-3D599F36D245B844,A,initial_rl,2,4,0.5,0
TRN-3D599F36D245B844,A,repair_sft,3,4,0.75,0
TRN-3DF4DABEF63BF33C,A,base,2,4,0.5,
TRN-3DF4DABEF63BF33C,A,initial_rl,4,4,1.0,0
TRN-3DF4DABEF63BF33C,A,repair_sft,4,4,1.0,0
TRN-3E033B2BBC7D4E36,A,base,1,4,0.25,
TRN-3E033B2BBC7D4E36,A,initial_rl,0,4,0.0,0
TRN-3E033B2BBC7D4E36,A,repair_sft,3,4,0.75,0
TRN-3E5C6EB2CC825D66,A,base,1,4,0.25,
TRN-3E5C6EB2CC825D66,A,initial_rl,3,4,0.75,0
